external_id,SMILES,value,source,measurement_type,reference,units,is_open,is_predicted
58,O=C(O[H])[C@](N([H])[H])([H])C([H])([H])c1c([H])c(O[H])c(O[H])c([H])c1[H],-0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
59,O=C1C(C([H])([H])c2c([H])nc(C([H])([H])[H])c([H])c2[H])=C([H])N=C(N([H])C([H])([H])C([H])([H])SC([H])([H])C(O3)=C([H])C([H])=C3C(C([H])([H])[H])(N([H])[H])C([H])([H])[H])N1[H],-1.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
60,[H]C([H])([H])c1c([H])c(C([H])([H])[H])c([H])c([H])c1[H],0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
61,[H]c1c([H])c(N(C([H])(C([H])(N(C([H])([H])[H])C([H])([H])[H])[H])[H])C([H])(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])[H])nc([H])c1[H],0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
62,O=[S@](c1c([H])c(N(c3c(S4)c([H])c([H])c([H])c3[H])C([H])([H])[C@@]([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2[C@@]([H])([H])[H])c4c([H])c1[H])[C@]([H])([H])[H],-0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
63,[H]C([H])([H])[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
64,O=C(N(C([H])([H])[H])C1=O)C(C(C([H])([H])[H])([H])C#CC([H])([H])C([H])([H])[H])(C([H])([H])/C([H])=C([H])\[H])C(N1[H])=O,-0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
65,O=C(O[H])C([H])([H])C([H])([H])[C@@](N([H])C(c1c([H])c([H])c(N(C([H])([H])C2=NC(C(N([H])[H])=NC(N([H])[H])=N3)=C3N=C2[H])C([H])([H])[H])c([H])c1[H])=O)([H])C(O[H])=O,-1.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
66,FC(OC([H])([H])[H])(F)C(Cl)([H])Cl,0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
67,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])1[H],0.9,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
68,[H]c1c([H])c(C(c2c(N34)c([H])c([H])c(Cl)c2[H])=NC([H])(C3=C(N=C4C([H])([H])[H])[H])[H])c(F)c([H])c1[H],0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
69,[H][C@]([H])([H])N([C@]([H])([H])[C@@]34[H])C([H])([H])C([H])([H])N4c1nc([H])c([H])c([H])c1C([H])([H])c2c3c([H])c([H])c([H])c2[H],0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
70,[H]C([H])([H])N2C([H])([H])[C@]([H])([H])[C@@]34c1c5c(O[H])c([H])c([H])c1C([H])([H])[C@]([H])2[C@@]([H])3C([H])=C([H])[C@@](O[H])([H])[C@@]([H])4O5,-0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
71,O=C(N([H])c1c(N2c3c([H])c([H])c([H])c([H])c3[H])c([H])c(Cl)c([H])c1[H])C([H])([H])C2=O,0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
72,O=C(N([H])c2c3nc([H])c([H])c2C([H])([H])[H])c1c(N3C4([H])C([H])([H])C([H])4[H])nc([H])c([H])c1[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
73,Clc1c([H])c(N(C([H])([H])C([H])([H])C([H])([H])NC([H])([H])[H])c2c([H])c([H])c([H])c([H])c2S3)c3c([H])c1[H],1.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
74,[H]C([H])([H])Sc1c([H])c(N(c3c(S4)c([H])c([H])c([H])c3[H])C([H])([H])[C@@]([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])2[H])c4c([H])c1[H],0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
75,[H]C([H])([H])c1c(C([H])([H])[H])c([H])c([H])c([H])c1[H],0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
76,[H]C([H])([H])C(C([H])=C1[H])=C([H])C([H])=C1C([H])([H])[H],0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
77,O=C(N([H])c1c([H])c([H])c(O[H])c([H])c1[H])C([H])([H])[H],-0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
78,O=C(N2C([H])([H])[H])C1=C(N=C([H])N1C([H])([H])[H])N([H])C2=O,0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
79,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
80,O=C(N([H])C2=O)C(c1c([H])c([H])c([H])c([H])c1[H])(C(N2[H])=O)C([H])([H])C([H])([H])[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
81,H][C@@]34C([H])([H])C1=C([H])N([H])c2c1c([C@@](C([H])([H])[C@](C([H])([H])N4C([H])([H])C([H])([H])C([H])([H])[H])([C@@]([H])([H])SC([H])([H])[H])[H])3[H])c([H])c([H])c2[H],0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
82,[H]c1c([H])c([H])c(C2(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])3[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])2[H])c([H])c1[H],0.7,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
83,O=C(N2c1c([H])c([H])c([H])c([H])c1[H])C(C(N2c3c([H])c([H])c([H])c([H])c3[H])=O)([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
84,O=C(N([H])C(N3[H])=O)C(c2c([H])c([H])c([H])c([H])c2[H])3c1c([H])c([H])c([H])c([H])c1[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
85,[H][C@@]13[C@@](C([H])([H])C([H])([H])N1C([H])([H])[H])(c2c(N3C([H])([H])[H])c([H])c([H])c(OC(N([H])C([H])([H])[H])=O)c2[H])[C@@]([H])([H])[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
